place_id,licence,osm_type,osm_id,lat,lon,class,type,place_rank,importance,addresstype,name,display_name,boundingbox
89016795,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,233503147,48.8533212,2.3437596,highway,pedestrian,26,0.45987298670095283,road,Place Saint-Michel,"Place Saint-Michel, Quartier de la Monnaie, Paris 6e Arrondissement, Paris, Île-de-France, France métropolitaine, 75006, France","['48.8531625', '48.8535041', '2.3434979', '2.3440291']"
88419792,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,4039190,48.8534792,2.3437433,highway,tertiary,26,0.053426505683985624,road,Place Saint-Michel,"Place Saint-Michel, Quartier de la Monnaie, Paris 6e Arrondissement, Paris, Île-de-France, France métropolitaine, 75006, France","['48.8533741', '48.8535864', '2.3435449', '2.3439406']"
88838699,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,1279326374,48.8535912,2.3442184,highway,primary,26,0.053426505683985624,road,Place Saint-Michel,"Place Saint-Michel, Paris 5e Arrondissement, Paris, Île-de-France, France métropolitaine, 75005, France","['48.8533927', '48.8537679', '2.3441309', '2.3443404']"
88415268,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,1279326372,48.8531896,2.3439531,highway,cycleway,27,0.040093172350652316,road,Place Saint-Michel,"Place Saint-Michel, Quartier de la Monnaie, Paris 6e Arrondissement, Paris, Île-de-France, France métropolitaine, 75006, France","['48.8527668', '48.8535864', '2.3437531', '2.3440563']"
